SUBCAT,DESCRICAO
R749,Anormalidade dos niveis de enzimas sericas nao especificada
R75,Evidencia laboratorial do virus da imunodeficiencia humana HIV
R760,Titulo aumentado de anticorpos
R761,Reacao anormal ao teste da tuberculina
R762,Exame sorologico falso positivo para sifilis
R768,Outros achados imunologicos especificados anormais no soro
R769,Achado anormal de exame imunologico serico nao especificado
R770,Anormalidade da albumina
R771,Anormalidade das globulinas
R772,Anormalidade da alfafetoproteina
R778,Outras anormalidades especificadas das proteinas plasmaticas
R779,Anormalidades de proteina plasmatica nao especificadas
R780,Presenca de alcool no sangue
R781,Presenca de opiaceos no sangue
R782,Presenca de cocaina no sangue
R783,Presenca de alucinogeno no sangue
R784,Presenca de outras drogas com potencial de causar dependencia no sangue
R785,Presenca de droga psicotropica no sangue
R786,Presenca de agente esteroide no sangue
R787,Presenca de nivel anormal de metais pesados no sangue
R788,Presenca de outras substancias especificadas nao normalmente encontradas no sangue
R789,Presenca de substancia nao especificada normalmente nao encontrada no sangue
R790,Anormalidade do nivel de elementos minerais no sangue
R798,Outros achados anormais especificados de exames quimicos do sangue
R799,Achado anormal de exame quimico do sangue nao especificado
R80,Proteinuria isolada
R81,Glicosuria
R820,Quiluria
R821,Mioglobinuria
R822,Biliuria
R823,Hemoglobinuria
R824,Acetonuria
R825,Niveis urinarios elevados de drogas medicamentos e substancias biologicas
R826,Niveis urinarios anormais de substancias cuja origem e essencialmente naomedicinal
R827,Achados anormais ao exame microbiologico da urina
R828,Achados anormais ao exame citologico e histologico da urina
R829,Outros achados anormais na urina e os nao especificados
R830,Achados anormais no liquido cefalorraquidiano  nivel enzimatico anormal
R831,Achados anormais no liquido cefalorraquidiano  nivel hormonal anormal
R832,Achados anormais no liquido cefalorraquidiano  nivel anormal de outras drogas medicamentos e substancias biologicas
R833,Achados anormais no liquido cefalorraquidiano  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R834,Achados anormais no liquido cefalorraquidiano  achados imunologicos anormais
R835,Achados anormais no liquido cefalorraquidiano  achados microbiologicos anormais
R836,Achados anormais no liquido cefalorraquidiano  achados citologicos anormais
R837,Achados anormais no liquido cefalorraquidiano  achados histologicos anormais
R838,Achados anormais no liquido cefalorraquidiano  outros achados anormais
R839,Achados anormais no liquido cefalorraquidiano  achado anormal nao especificado
R840,Achados anormais de material proveniente dos orgaos respiratorios e do torax  nivel enzimatico anormal
R841,Achados anormais de material proveniente dos orgaos respiratorios e do torax  nivel hormonal anormal
R842,Achados anormais de material proveniente dos orgaos respiratorios e do torax  nivel anormal de outras drogas medicamentos e substancias biologicas
R843,Achados anormais de material proveniente dos orgaos respiratorios e do torax  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R844,Achados anormais de material proveniente dos orgaos respiratorios e do torax  achados imunologicos anormais
R845,Achados anormais de material proveniente dos orgaos respiratorios e do torax  achados microbiologicos anormais
R846,Achados anormais de material proveniente dos orgaos respiratorios e do torax  achados citologicos anormais
R847,Achados anormais de material proveniente dos orgaos respiratorios e do torax  achados histologicos anormais
R848,Achados anormais de material proveniente dos orgaos respiratorios e do torax  outros achados anormais
R849,Achados anormais de material proveniente dos orgaos respiratorios e do torax  achado anormal nao especificado
R850,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  nivel enzimatico anormal
R851,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  nivel hormonal anormal
R852,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  nivel anormal de outras drogas medicamentos e substancias biologicas
R853,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R854,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  achados imunologicos anormais
R855,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  achados microbiologicos anormais
R856,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  achados citologicos anormais
R857,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  achados histologicos anormais
R858,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  outros achados anormais
R859,Achados anormais de material proveniente dos orgaos digestivos e da cavidade abdominal  achado anormal nao especificado
R860,Achados anormais de material proveniente dos orgaos genitais masculinos  nivel enzimatico anormal
R861,Achados anormais de material proveniente dos orgaos genitais masculinos  nivel hormonal anormal
R862,Achados anormais de material proveniente dos orgaos genitais masculinos  nivel anormal de outras drogas medicamentos e substancias biologicas
R863,Achados anormais de material proveniente dos orgaos genitais masculinos  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R864,Achados anormais de material proveniente dos orgaos genitais masculinos  achados imunologicos anormais
R865,Achados anormais de material proveniente dos orgaos genitais masculinos  achados microbiologicos anormais
R866,Achados anormais de material proveniente dos orgaos genitais masculinos  achados citologicos anormais
R867,Achados anormais de material proveniente dos orgaos genitais masculinos  achados histologicos anormais
R868,Achados anormais de material proveniente dos orgaos genitais masculinos  outros achados anormais
R869,Achados anormais de material proveniente dos orgaos genitais masculinos  achado anormal nao especificado
R870,Achados anormais de material proveniente dos orgaos genitais femininos  nivel enzimatico anormal
R871,Achados anormais de material proveniente dos orgaos genitais femininos  nivel hormonal anormal
R872,Achados anormais de material proveniente dos orgaos genitais femininos  nivel anormal de outras drogas medicamentos e substancias biologicas
R873,Achados anormais de material proveniente dos orgaos genitais femininos  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R874,Achados anormais de material proveniente dos orgaos genitais femininos  achados imunologicos anormais
R875,Achados anormais de material proveniente dos orgaos genitais femininos  achados microbiologicos anormais
R876,Achados anormais de material proveniente dos orgaos genitais femininos  achados citologicos anormais
R877,Achados anormais de material proveniente dos orgaos genitais femininos  achados histologicos anormais
R878,Achados anormais de material proveniente dos orgaos genitais femininos  outros achados anormais
R879,Achados anormais de material proveniente dos orgaos genitais femininos  achado anormal nao especificado
R890,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  nivel enzimatico anormal
R891,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  nivel hormonal anormal
R892,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  nivel anormal de outras drogas medicamentos e substancias biologicas
R893,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  nivel anormal de substancias cuja origem e essencialmente nao medicinal
R894,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  achados imunologicos anormais
R895,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  achados microbiologicos anormais
R896,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  achados citologicos anormais
R897,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  achados histologicos anormais
R898,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  outros achados anormais
R899,Achados anormais de material proveniente de outros orgaos aparelhos sistemas e tecidos  achado anormal nao especificado
R900,Lesao intracraniana ocupando espaco
R908,Outros resultados anormais de exames para diagnostico por imagem do sistema nervoso central
R91,Achados anormais de exames para diagnostico por imagem do pulmao
R92,Achados anormais de exames para diagnostico por imagem da mama
R930,Achados anormais de exames para diagnostico por imagem do cranio e da cabeca nao classificados em outra parte
R931,Achados anormais de exames para diagnostico por imagem do coracao e da circulacao coronariana
R932,Achados anormais de exames para diagnostico por imagem do figado e das vias biliares
R933,Achados anormais de exames para diagnostico por imagem de outras partes do tubo digestivo
R934,Achados anormais de exames para diagnostico por imagem dos orgaos urinarios
R935,Achados anormais de exames para diagnostico por imagem de outras regioes do abdome incluindo o retroperitonio
R936,Achados anormais de exames para diagnostico por imagem dos membros
R937,Achados anormais de exames para diagnostico por imagem de outras partes do sistema osteomuscular
R938,Achados anormais de exames diagnosticos por imagem de outras estruturas somaticas especificadas
R940,Resultados anormais de estudos de funcao do sistema nervoso central
R941,Resultados anormais de estudos de funcao do sistema nervoso periferico e dos orgaos dos sentidos
R942,Resultados anormais de estudos da funcao pulmonar
R943,Resultados anormais de estudos da funcao cardiovascular
R944,Resultados anormais de estudos de funcao renal
R945,Resultados anormais de estudos de funcao hepatica
R946,Resultados anormais de estudos de funcao tireoidiana
R947,Resultados anormais de estudos de funcao de outras glandulas endocrinas
R948,Resultados anormais de estudos de funcao de outros orgaos aparelhos e sistemas
R95,Sindrome da morte subita na infancia
R960,Morte instantanea
R961,Morte que ocorre em menos de 24 horas apos o inicio dos sintomas que nao pode ser explicada
R98,Morte sem assistencia
R99,Outras causas mal definidas e as nao especificadas de mortalidade
S000,Traumatismo superficial do couro cabeludo
S001,Contusao da palpebra e da regiao periocular
S002,Outros traumatismos superficiais da palpebra e da regiao periocular
S003,Traumatismo superficial do nariz
S004,Traumatismo superficial do ouvido
S005,Traumatismo superficial dos labios e da cavidade oral
S007,Traumatismos superficiais multiplos da cabeca
S008,Traumatismo superficial de outras partes da cabeca
S009,Traumatismo superficial da cabeca parte nao especificada
S010,Ferimento do couro cabeludo
S011,Ferimento da palpebra e da regiao periocular
S012,Ferimento do nariz
S013,Ferimento do ouvido
S014,Ferimento da bochecha e regiao temporomandibular
S015,Ferimento do labio e da cavidade oral
S017,Ferimentos multiplos da cabeca
S018,Ferimento na cabeca de outras localizacoes
S019,Ferimento na cabeca parte nao especificada
S020,Fratura da abobada do cranio
S021,Fratura da base do cranio
S022,Fratura dos ossos nasais
S023,Fratura do assoalho orbital
S024,Fratura dos ossos malares e maxilares
S025,Fratura de dentes
S026,Fratura de mandibula
S027,Fraturas multiplas envolvendo os ossos do cranio e da face
S028,Outras fraturas do cranio e dos ossos da face
S029,Fratura do cranio ou dos ossos da face parte nao especificada
S030,Luxacao do maxilar
S031,Luxacao da cartilagem do septo nasal
S032,Luxacao dentaria
S033,Luxacao de outras partes da cabeca e das nao especificadas
S034,Entorse e distensao do maxilar
S035,Entorse e distensao da articulacoes e dos ligamentos de outras localizacoes e de localizacoes nao especificadas da cabeca
S040,Traumatismo do nervo e das vias opticas
S041,Traumatismo do nervo oculomotor
S042,Traumatismo do nervo troclear
S043,Traumatismo do nervo trigemeo
S044,Traumatismo do nervo abducente
S045,Traumatismo do nervo facial
S046,Traumatismo do nervo acustico
S047,Traumatismo do nervo acessorio
S048,Traumatismo de outros nervos cranianos
S049,Traumatismo de nervo craniano nao especificado
S050,Traumatismo da conjuntiva e abrasao da cornea sem mencao de corpo estranho
S051,Contusao do globo ocular e dos tecidos da orbita
S052,Laceracao e ruptura ocular com prolapso ou perda de tecido intraocular
S053,Laceracao ocular sem prolapso ou perda de tecido intraocular
S054,Ferimento penetrante da orbita com ou sem corpo estranho
S055,Ferimento penetrante do globo ocular com corpo estranho
S056,Ferimento penetrante do globo ocular sem corpo estranho
S057,Avulsao do olho
S058,Outros traumatismos do olho e da orbita
S059,Traumatismo do olho e da orbita nao especificado
S060,Concussao cerebral
S061,Edema cerebral traumatico
S062,Traumatismo cerebral difuso
S063,Traumatismo cerebral focal
S064,Hemorragia epidural
S065,Hemorragia subdural devida a traumatismo
S066,Hemorragia subaracnoide devida a traumatismo
S067,Traumatismo intracraniano com coma prolongado
S068,Outros traumatismos intracranianos
S069,Traumatismo intracraniano nao especificado
S070,Lesao por esmagamento da face
S071,Lesao por esmagamento do cranio
S078,Lesao por esmagamento de outras partes da cabeca
S079,Lesao por esmagamento da cabeca parte nao especificada
S080,Avulsao do couro cabeludo
S081,Amputacao traumatica da orelha
S088,Amputacao traumatica de outras partes da cabeca
S089,Amputacao traumatica de parte nao especificada da cabeca
S090,Traumatismo dos vasos sanguineos da cabeca nao classificados em outra parte
S091,Traumatismo dos musculos e dos tendoes da cabeca
S092,Ruptura traumatica do timpano
S097,Traumatismos multiplos da cabeca
S098,Outros traumatismos especificados da cabeca
S099,Traumatismo nao especificado da cabeca
S100,Contusao da garganta
S101,Outros traumatismos superficiais da garganta e os nao especificados
S107,Traumatismos superficiais multiplos do pescoco
S108,Traumatismo superficial de outras localizacoes do pescoco
S109,Traumatismo superficial do pescoco parte nao especificada
S110,Ferimento envolvendo a laringe e a traqueia
S111,Ferimento da glandula tireoide
S112,Ferimento envolvendo a faringe e o esofago cervical
S117,Ferimentos multiplos do pescoco
S118,Ferimentos de outras partes do pescoco
S119,Ferimentos do pescoco parte nao especificada
S120,Fratura da primeira vertebra cervical
S121,Fratura da segunda vertebra cervical
S122,Fratura de outras vertebras cervicais especificadas
S127,Fraturas multiplas da coluna cervical
S128,Fratura de outras partes do pescoco
S129,Fratura do pescoco parte nao especificada
S130,Ruptura traumatica de disco intervertebral cervical
S131,Luxacao de vertebra cervical
S132,Luxacao de outras partes do pescoco e das nao especificadas
S133,Luxacoes multiplas do pescoco
S134,Distensao e entorse da coluna cervical
S135,Distensao e entorse da regiao tireoidiana
S136,Distensao e entorse de articulacoes e de ligamentos de outras localizacoes e das nao especificadas do pescoco
S140,Concussao e edema da medula cervical
S141,Outros traumatismos e os nao especificados da medula cervical
S142,Traumatismo da raiz nervosa da coluna cervical
S143,Traumatismo do plexo braquial
S144,Traumatismo dos nervos perifericos do pescoco
S145,Traumatismo dos nervos simpaticos do pescoco
S146,Traumatismo de outros nervos e dos nao especificados do pescoco
S150,Traumatismo da arteria carotida
S151,Traumatismo da arteria vertebral
S152,Traumatismo da veia jugular externa
S153,Traumatismo da veia jugular interna
S157,Traumatismo de multiplos vasos sanguineos ao nivel do pescoco
S158,Traumatismo de outros vasos sanguineos ao nivel do pescoco
S159,Traumatismo de vasos sanguineos nao especificados ao nivel do pescoco
S16,Traumatismo de tendoes e de musculos do pescoco
S170,Lesao por esmagamento da laringe e da traqueia
S178,Lesao por esmagamento de outras partes do pescoco
S179,Lesao por esmagamento do pescoco parte nao especificada
S18,Amputacao traumatica ao nivel do pescoco
S197,Traumatismos multiplos do pescoco
S198,Outros traumatismos especificados do pescoco
S199,Traumatismo nao especificado do pescoco
S200,Contusao da mama
S201,Outros traumatismos superficiais da mama e os nao especificados
S202,Contusao do torax
S203,Outros traumatismos superficiais da parede anterior do torax
S204,Outros traumatismos superficiais da parede posterior do torax
S207,Traumatismos superficiais multiplos do torax
S208,Traumatismo superficial de outras partes especificadas do torax e das nao especificadas
S210,Ferimento da mama
S211,Ferimento da parede anterior do torax
S212,Ferimento da parede posterior do torax
S217,Ferimentos multiplos da parede toracica
S218,Ferimento de outras partes do torax
S219,Ferimento do torax parte nao especificada
S220,Fratura de vertebra toracica
S221,Fraturas multiplas da coluna toracica
S222,Fratura do esterno
S223,Fratura de costela
S224,Fraturas multiplas de costelas
S225,Torax fundido oscilante
S228,Fraturas de outras partes dos ossos do torax
S229,Fratura dos ossos do torax parte nao especificada
S230,Ruptura traumatica de disco intervertebral toracico
S231,Luxacao de vertebra toracica
S232,Luxacao de outras partes do torax e das nao especificadas
S233,Entorse e distensao da coluna toracica
S234,Entorse e distensao das costelas e do esterno
S235,Entorse e distensao de outras partes do torax e de partes nao especificadas
S240,Concussao e edema da medula espinhal toracica
S241,Outros traumatismos da medula espinhal toracica e os nao especificados
S242,Traumatismo da raiz de nervo da coluna toracica
S243,Traumatismo de nervos perifericos do torax
S244,Traumatismo de nervos simpaticos do torax
S245,Traumatismo de outros nervos do torax
S246,Traumatismo de nervo do torax nao especificado
S250,Traumatismo da aorta toracica
S251,Traumatismo da arteria subclavia ou inominada braquiocefalica
S252,Traumatismo da veia cava superior
S253,Traumatismo da veia subclavia ou inominada braquiocefalica
S254,Traumatismo de vasos sanguineos pulmonares
S255,Traumatismo de vasos sanguineos intercostais
S257,Traumatismo de multiplos vasos sanguineos do torax
S258,Traumatismo de outros vasos sanguineos do torax
S259,Traumatismo de vaso sanguineo nao especificado do torax
S260,Traumatismo do coracao com hemopericardio
S268,Outros traumatismos do coracao
S269,Traumatismo do coracao nao especificado
S270,Pneumotorax traumatico
S271,Hemotorax traumatico
S272,Hemopneumotorax traumatico
S273,Outros traumatismos do pulmao
S274,Traumatismo dos bronquios
S275,Traumatismo da traqueia toracica
S276,Traumatismo da pleura
S277,Traumatismos multiplos de orgaos intratoracicos
S278,Traumatismo de outros orgaos intratoracicos especificados
S279,Traumatismo de orgao intratoracico nao especificado
S280,Esmagamento do torax
S281,Amputacao traumatica de parte do torax
S290,Traumatismo de musculo e de tendao ao nivel toracico
S297,Traumatismos multiplos do torax
S298,Outros traumatismos especificados do torax
S299,Traumatismo nao especificado do torax
S300,Contusao do dorso e da pelve
S301,Contusao da parede abdominal
S302,Contusao dos orgaos genitais externos
S307,Traumatismos superficiais multiplos do abdome do dorso e da pelve
S308,Outros traumatismos superficiais do abdome do dorso e da pelve
S309,Traumatismo superficial de parte nao especificada do abdome do dorso e da pelve
S310,Ferimento do dorso e da pelve
S311,Ferimento da parede abdominal
S312,Ferimento do penis
S313,Ferimento do escroto e do testiculo
S314,Ferimento da vagina e da vulva
S315,Ferimento de outros orgaos genitais externos e os nao especificados
S317,Ferimentos multiplos do abdome do dorso e da pelve
S318,Ferimento de outras partes e de partes nao especificadas do abdome
S320,Fratura de vertebra lombar
S321,Fratura do sacro
S322,Fratura do coccix
S323,Fratura do ilio
S324,Fratura do acetabulo
S325,Fratura do pubis
S327,Fraturas multiplas de coluna lombar e da pelve
S328,Fratura de outras partes da coluna lombossacra e da pelve e de partes nao especificadas
S330,Ruptura traumatica do disco intervertebral lombar
S331,Luxacao da vertebra lombar
S332,Luxacao das articulacoes sacroiliaca e sacrococcigea
S333,Luxacao de outras partes e das nao especificadas da coluna lombar e da pelve
S334,Ruptura traumatica da sinfise pubica
S335,Entorse e distensao da coluna lombar
S336,Entorse e distensao da articulacao sacroiliaca
S337,Entorse e distensao de outras partes e das nao especificadas da coluna lombar e da pelve
S340,Concussao e edema da medula lombar
S341,Outro traumatismo da medula lombar
S342,Traumatismo de raiz nervosa da medula lombar e sacra
S343,Traumatismo de cauda equina
S344,Traumatismo do plexo lombossacro
S345,Traumatismo de nervos simpaticos lombares sacros e pelvicos
S346,Traumatismo dos nervos perifericos do abdome do dorso e da pelve
S348,Traumatismo de outros nervos e dos nao especificados ao nivel do abdome do dorso e da pelve
S350,Traumatismo da aorta abdominal
S351,Traumatismo da veia cava inferior
S352,Traumatismo da arteria celiaca ou mesenterica
S353,Traumatismo da veia porta ou esplenica
S354,Traumatismo de vaso sanguineo renal
S355,Traumatismo de vaso sanguineo iliaco
S357,Traumatismo de vasos multiplos ao nivel do abdome do dorso e da pelve
S358,Traumatismo de outros vasos sanguineos ao nivel do abdome do dorso e da pelve
S359,Traumatismo de vaso sanguineo nao especificado ao nivel do abdome do dorso e da pelve
S360,Traumatismo do baco
S361,Traumatismo do figado ou da vesicula biliar
S362,Traumatismo do pancreas
S363,Traumatismo do estomago
S364,Traumatismo do intestino delgado
S365,Traumatismo do colon
S366,Traumatismo do reto
S367,Traumatismo de multiplos orgaos intraabdominais
S368,Traumatismo de outros orgaos intraabdominais
S369,Traumatismo de orgao intraabdominal nao especificado
S370,Traumatismo do rim
S371,Traumatismo do ureter
S372,Traumatismo da bexiga
S373,Traumatismo da uretra
S374,Traumatismo do ovario
S375,Traumatismo da trompa de Falopio
S376,Traumatismo do utero
S377,Traumatismo de multiplos orgaos pelvicos
S378,Traumatismo de outros orgaos pelvicos
S379,Traumatismo de orgao pelvico nao especificado
S380,Lesao por esmagamento dos orgaos genitais externos
S381,Lesao por esmagamento de outras partes e de partes nao especificadas do abdome do dorso e da pelve
S382,Amputacao traumatica de orgaos genitais externos
S383,Amputacao traumatica de outras partes e de partes nao especificadas do abdome do dorso e da pelve
S390,Traumatismo de musculo e de tendao do abdome do dorso e da pelve
S396,Traumatismo de orgaos intraabdominalis com orgaos pelvicos
S397,Outros traumatismos multiplos do abdome do dorso e da pelve
S398,Outros traumatismos especificados do abdome do dorso e da pelve
S399,Traumatismo nao especificado do abdome do dorso e da pelve
S400,Contusao do ombro e do braco
S407,Traumatismos superficiais multiplos do ombro e do braco
S408,Outros traumatismos superficiais do ombro e do braco
S409,Traumatismo superficial nao especificado do ombro e do braco
S410,Ferimento do ombro
S411,Ferimento do braco
S417,Ferimentos multiplos do ombro e do braco
S418,Ferimento de outras partes e de partes nao especificadas da cintura escapular
S420,Fratura da clavicula
S421,Fratura da omoplata escapula
S422,Fratura da extremidade superior do umero
S423,Fratura da diafise do umero
S424,Fratura da extremidade inferior do umero
S427,Fraturas multiplas da clavicula da omoplata escapula e do umero
S428,Fratura de outras partes do ombro e do braco
S429,Fratura da cintura escapular parte nao especificada
S430,Luxacao da articulacao do ombro
S431,Luxacao da articulacao acromioclavicular
S432,Luxacao da articulacao esternoclavicular
S433,Luxacao de outras partes e das nao especificadas da cintura escapular
S434,Entorse e distensao de articulacao do ombro
S435,Entorse e distensao da articulacao acromioclavicular
S436,Entorse e distensao da articulacao esternoclavicular
S437,Entorse e distensao de outras partes e de partes nao especificadas da cintura escapular
S440,Traumatismo do nervo cubital ulnar ao nivel do braco
S441,Traumatismo do nervo mediano ao nivel do braco
S442,Traumatismo do nervo radial ao nivel do braco
S443,Traumatismo do nervo axilar
S444,Traumatismo do nervo musculocutaneo
S445,Traumatismo do nervo sensitivo cutaneo ao nivel do ombro e do braco
S447,Traumatismo de multiplos nervos ao nivel do ombro e do braco
S448,Traumatismo de outros nervos ao nivel do ombro e do braco
S449,Traumatismo de nervo nao especificado ao nivel do ombro e do braco
S450,Traumatismo da arteria axilar
S451,Traumatismo da arteria braquial
S452,Traumatismo da veia axilar ou braquial
S453,Traumatismo de veia superficial ao nivel do ombro e do braco
S457,Traumatismo de multiplos vasos sanguineos ao nivel do ombro e do braco
S458,Traumatismo de outros vasos sanguineos ao nivel do ombro e do braco
S459,Traumatismo de vaso sanguineo nao especificado ao nivel do ombro e do braco
S460,Traumatismo do tendao do manguito rotador do ombro
S461,Traumatismo do musculo e tendao da cabeca longa do biceps
S462,Traumatismo do musculo e tendao de outras partes do biceps
S463,Traumatismo do musculo e tendao do triceps
S467,Traumatismo de multiplos musculos e tendoes ao nivel do ombro e do braco
S468,Traumatismo de outros musculos e tendoes ao nivel do ombro e do braco
S469,Traumatismo de musculo e tendao nao especificado ao nivel do ombro e do braco
S47,Lesao por esmagamento do ombro e do braco
S480,Amputacao traumatica da articulacao do ombro
S481,Amputacao traumatica de localizacao entre o ombro e o cotovelo
S489,Amputacao traumatica do ombro e do braco de localizacao nao especificada
S497,Traumatismos multiplos do ombro e do braco
S498,Outros traumatismos especificados do ombro e do braco
S499,Traumatismo nao especificado do ombro e do braco
S500,Contusao do cotovelo
S501,Contusao de outras partes e de partes nao especificadas do antebraco
S507,Traumatismos superficiais multiplos do antebraco
S508,Outros traumatismos superficiais do antebraco
S509,Traumatismo superficial do antebraco nao especificado
S510,Ferimento do cotovelo
S517,Ferimentos multiplos do antebraco
S518,Ferimento de outras partes do antebraco
S519,Ferimento do antebraco parte nao especificado
S520,Fratura da extremidade superior do cubito ulna
S521,Fratura da extremidade superior do radio
S522,Fratura da diafise do cubito ulna
S523,Fratura da diafise do radio
S524,Fratura das diafises do radio e do cubito ulna
S525,Fratura da extremidade distal do radio
S526,Fratura da extremidade distal do radio e do cubito ulna
S527,Fraturas multiplas do antebraco
S528,Fratura de outras partes do antebraco
S529,Fratura do antebraco parte nao especificada
S530,Luxacao da cabeca do radio
S531,Luxacao do cotovelo nao especificada
S532,Ruptura traumatica do ligamento colateral do radio
S533,Ruptura traumatica do ligamento colateral do cubito ulna
S534,Entorse e distensao do cotovelo
S540,Traumatismo do nervo cubital ulnar ao nivel do antebraco
S541,Traumatismo do nervo mediano ao nivel do antebraco
S542,Traumatismo do nervo radial ao nivel do antebraco
S543,Traumatismo do nervo cutaneo sensitivo ao nivel do antebraco
S547,Traumatismo de multiplos nervos ao nivel do antebraco
S548,Traumatismo de outros nervos ao nivel do antebraco
S549,Traumatismo de nervo nao especificado ao nivel do antebraco
S550,Traumatismo da arteria cubital ulnar ao nivel do antebraco
S551,Traumatismo da arteria radial ao nivel do antebraco
S552,Traumatismo de veia ao nivel do antebraco
S557,Traumatismo de multiplos vasos sanguineos ao nivel do antebraco
S558,Traumatismo de outros vasos sanguineos ao nivel do antebraco
S559,Traumatismo de vasos sanguineos nao especificados ao nivel do antebraco
S560,Traumatismo do musculo flexor e tendao do polegar ao nivel do antebraco
S561,Traumatismo do musculo flexor e tendao de outros dedos ao nivel do antebraco
S562,Traumatismo de outro musculo flexor e tendao ao nivel do antebraco
S563,Traumatismo dos musculos extensor ou abdutor e tendoes do polegar ao nivel do antebraco
S564,Traumatismo do musculo extensor e tendao de outros dedos ao nivel do antebraco
S565,Traumatismo de outros musculos extensores e tendoes ao nivel do antebraco
S567,Traumatismo de musculos e tendoes multiplos ao nivel do antebraco
S568,Traumatismo de outros musculos e tendoes e dos nao especificados ao nivel do antebraco
S570,Lesao por esmagamento do cotovelo
S578,Lesao por esmagamento de outras partes do antebraco
S579,Lesao por esmagamento de parte nao especificada do antebraco
S580,Amputacao traumatica ao nivel do cotovelo
S581,Amputacao traumatica do antebraco entre o cotovelo e o punho
S589,Amputacao traumatica do antebraco nivel nao especificado
S597,Traumatismos multiplos do cotovelo
S598,Outros traumatismos especificados do antebraco
S599,Traumatismo nao especificado do antebraco
S600,Contusao de dedos sem lesao da unha
S601,Contusao de dedos com lesao da unha
S602,Contusao de outras partes do punho e da mao
S607,Traumatismos superficiais multiplos do punho e da mao
S608,Outros traumatismos superficiais do punho e da mao
S609,Traumatismo superficial nao especificado do punho e da mao
S610,Ferimento de dedos sem lesao da unha
S611,Ferimento de dedos com lesao da unha
S617,Ferimentos multiplos do punho e da mao
S618,Ferimento de outras partes do punho e da mao
S619,Ferimento do punho e da mao parte nao especificada
S620,Fratura do osso navicular escafoide da mao
S621,Fratura de outros ossos do carpo
S622,Fratura do primeiro metacarpiano
S623,Fratura de outros ossos do metacarpo
S624,Fraturas multiplas de ossos metacarpianos
S625,Fratura do polegar
S626,Fratura de outros dedos
S627,Fraturas multiplas de dedos
S628,Fratura de outras partes e de partes nao especificadas do punho e da mao
S630,Luxacao do punho
S631,Luxacao do dedo
S632,Luxacoes multiplas dos dedos
S633,Ruptura traumatica de ligamentos do punho e do carpo
S634,Ruptura traumatica do ligamento do dedo nas articulacoes metacarpofalangianas e interfalangianas
S635,Entorse e distensao do punho
S636,Entorse e distensao dos dedos
S637,Entorse e distensao de outras partes e das nao especificadas da mao
S640,Traumatismo do nervo cubital ulnar ao nivel do punho e da mao
S641,Traumatismo do nervo mediano ao nivel do punho e da mao
S642,Traumatismo do nervo radial ao nivel do punho e da mao
S643,Traumatismo do nervo digital do polegar
S644,Traumatismo do nervo digital de outro dedo
S647,Traumatismo de multiplos nervos ao nivel de punho e da mao
S648,Traumatismo de outros nervos ao nivel do punho e da mao
S649,Traumatismo de nervo nao especificado ao nivel do punho e da mao
S650,Traumatismo da arteria cubital ulnar ao nivel do punho e da mao
S651,Traumatismo da arteria radial ao nivel do punho e da mao
S652,Traumatismo do arco palmar superficial
S653,Traumatismo do arco palmar profundo
S654,Traumatismo de vasos sanguineos do polegar
S655,Traumatismo de vasos sanguineos de outro dedo
S657,Traumatismo de vasos sanguineos multiplos ao nivel de punho e da mao
S658,Traumatismo de outros vasos sanguineos ao nivel do punho e de mao
S659,Traumatismo de vaso sanguineo nao especificado ao nivel do punho e da mao
S660,Traumatismo do musculo flexor longo e tendao do polegar ao nivel do punho e da mao
S661,Traumatismo do musculo flexor e tendao de outro dedo ao nivel do punho e da mao
S662,Traumatismo do musculo extensor e tendao do polegar ao nivel do punho e da mao
S663,Traumatismo do musculo extensor e tendao de outro dedo ao nivel do punho e da mao
S664,Traumatismo do musculo intrinseco e tendao do polegar ao nivel do punho e da mao
S665,Traumatismo do musculo intrinseco e tendao de outro dedo ao nivel do punho e da mao
S666,Traumatismo de musculos flexores e tendoes multiplos ao nivel do punho e da mao
